Player,Country,Runs,BF,4s,6s,SR,Inns,Opposition,Ground,Start Date
Mushfiqur Rahim,BAN,125,127,10,0,98.42,1,Sri Lanka,Mirpur,25 May 2021
Fakhar Zaman,PAK,101,104,9,3,97.11,1,South Africa,Centurion,7 Apr 2021
Fakhar Zaman,PAK,193,155,18,10,124.51,2,South Africa,Johannesburg,4 Apr 2021
HE van der Dussen,SA,123,134,10,2,91.79,1,Pakistan,Centurion,2 Apr 2021
Babar Azam,PAK,103,104,17,0,99.03,2,South Africa,Centurion,2 Apr 2021
KL Rahul,IND,108,114,7,2,94.73,1,England,Pune,26 Mar 2021
JM Bairstow,ENG,124,112,11,7,110.71,2,India,Pune,26 Mar 2021
DP Conway,NZ,126,110,17,0,114.54,1,Bangladesh,Wellington,26 Mar 2021
DJ Mitchell,NZ,100,92,9,2,108.69,1,Bangladesh,Wellington,26 Mar 2021
TWM Latham,NZ,110,108,10,0,101.85,2,Bangladesh,Christchurch,23 Mar 2021
DM Bravo,WI,102,132,5,4,77.27,2,Sri Lanka,North Sound,14 Mar 2021
E Lewis,WI,103,121,8,4,85.12,2,Sri Lanka,North Sound,12 Mar 2021
SD Hope,WI,110,133,12,1,82.70,2,Sri Lanka,North Sound,10 Mar 2021
PR Stirling,IRE,118,119,9,6,99.15,2,Afghanistan,Abu Dhabi,26 Jan 2021
PR Stirling,IRE,128,132,12,4,96.96,1,Afghanistan,Abu Dhabi,24 Jan 2021
Rahmat Shah,AFG,103,109,10,2,94.49,2,Ireland,Abu Dhabi,24 Jan 2021
Rahmanullah Gurbaz,AFG,127,127,8,9,100.00,1,Ireland,Abu Dhabi,21 Jan 2021
PR Stirling,IRE,131,148,9,4,88.51,1,U.A.E.,Abu Dhabi,8 Jan 2021
CP Rizwan,UAE,109,136,9,1,80.14,2,Ireland,Abu Dhabi,8 Jan 2021
Muhammad Usman,UAE,102,107,7,3,95.32,2,Ireland,Abu Dhabi,8 Jan 2021
SPD Smith,AUS,104,64,14,2,162.50,1,India,Sydney,29 Nov 2020
AJ Finch,AUS,114,124,9,2,91.93,1,India,Sydney,27 Nov 2020
SPD Smith,AUS,105,66,11,4,159.09,1,India,Sydney,27 Nov 2020
SC Williams,ZIM,118,135,13,1,87.40,1,Pakistan,Rawalpindi,3 Nov 2020
Babar Azam,PAK,125,125,13,1,100.00,2,Zimbabwe,Rawalpindi,3 Nov 2020
BRM Taylor,ZIM,112,117,11,3,95.72,2,Pakistan,Rawalpindi,30 Oct 2020
JM Bairstow,ENG,112,126,12,2,88.88,1,Australia,Manchester,16 Sep 2020
AT Carey,AUS,106,114,7,2,92.98,2,England,Manchester,16 Sep 2020
GJ Maxwell,AUS,108,90,4,7,120.00,2,England,Manchester,16 Sep 2020
SW Billings,ENG,118,110,14,2,107.27,2,Australia,Manchester,11 Sep 2020
EJG Morgan,ENG,106,84,15,4,126.19,1,Ireland,Southampton,4 Aug 2020
PR Stirling,IRE,142,128,9,6,110.93,2,England,Southampton,4 Aug 2020
A Balbirnie,IRE,113,112,12,0,100.89,2,England,Southampton,4 Aug 2020
M Labuschagne,AUS,108,108,8,0,100.00,1,South Africa,Potchefstroom,7 Mar 2020
Tamim Iqbal,BAN,128,109,7,6,117.43,1,Zimbabwe,Sylhet,6 Mar 2020
Litton Das,BAN,176,143,16,8,123.07,1,Zimbabwe,Sylhet,6 Mar 2020
JN Malan,SA,129,139,7,4,92.80,2,Australia,Bloemfontein,4 Mar 2020
Tamim Iqbal,BAN,158,136,20,3,116.17,1,Zimbabwe,Sylhet,3 Mar 2020
Litton Das,BAN,126,105,13,2,120.00,1,Zimbabwe,Sylhet,1 Mar 2020
H Klaasen,SA,123,114,7,3,107.89,1,Australia,Paarl,29 Feb 2020
WIA Fernando,SL,127,123,10,0,103.25,1,West Indies,Hambantota,26 Feb 2020
BKG Mendis,SL,119,119,12,0,100.00,1,West Indies,Hambantota,26 Feb 2020
SD Hope,WI,115,140,10,0,82.14,1,Sri Lanka,Colombo (SSC),22 Feb 2020
Aqib Ilyas,OMA,105,123,11,1,85.36,1,U.S.A.,Kirtipur,11 Feb 2020
Zeeshan Maqsood,OMA,109,109,10,4,100.00,1,U.S.A.,Kirtipur,11 Feb 2020
KL Rahul,IND,112,113,9,2,99.11,1,New Zealand,Mount Maunganui,11 Feb 2020
Aqib Ilyas,OMA,109,108,12,1,100.92,2,Nepal,Kirtipur,9 Feb 2020
SS Iyer,IND,103,107,11,1,96.26,1,New Zealand,Hamilton,5 Feb 2020
LRPL Taylor,NZ,109,84,10,4,129.76,2,India,Hamilton,5 Feb 2020
